code,name,department_code
ADM0002,ESTUDOS E PESQUISAS EM ADMINISTRAÇÃO,327
ADM0003,TÓPICOS CONTEMPORÂNEOS EM ESTRATÉGIA,327
ADM0004,TÓPICOS CONTEMPORÂNEOS EM INOVAÇÃO,327
ADM0006,GESTÃO DE MARCAS,327
ADM0008,MARKETING SOCIALMENTE RESPONSÁVEL,327
ADM0009,MARKETING DE SERVIÇOS,327
ADM0010,MARKETING DIGITAL,327
ADM0012,ADMINISTRAÇÃO DE CUSTOS,327
ADM0014,ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL,327
ADM0015,"ESTADO, GOVERNO E SOCIEDADE",327
ADM0017,GESTÃO DE COMPRAS PÚBLICAS,327
ADM0020,TÓPICOS EM GESTÃO DA TECNOLOGIA,327
ADM0021,SOCIOLOGIA APLICADA À ADMINISTRAÇÃO,327
ADM0023,INTRODUÇÃO À ADMINISTRAÇÃO,327
ADM0035,ANÁLISE DE DECISÕES 1,327
ADM0037,"ESTADO, GOVERNO E MERCADO",327
ADM0038,O PÚBLICO E O PRIVADO NA GESTÃO PÚBLICA,327
ADM0039,DESENVOLVIMENTO E MUDANÇAS NO ESTADO BRASILEIRO,327
ADM0040,POLÍTICAS PÚBLICAS,327
ADM0041,GESTÃO DE PESSOAS EM ORGANIZAÇÕES,327
ADM0047,MÉTODOS E MODELOS QUANTITATIVOS DE DECISÃO 1,327
ADM0052,FINANÇAS 1,327
ADM0061,LOGÍSTICA ORGANIZACIONAL,327
ADM0064,ADMINISTRAÇÃO DE MARKETING,327
ADM0068,MERCADO FINANCEIRO E DE CAPITAIS,327
ADM0087,GESTÃO DE FINANÇAS PESSOAIS,327
ADM0092,ADMINISTRAÇÃO DA PRODUÇÃO E OPERAÇÕES,327
ADM0150,CRIACAO DE NEGOCIOS,327
ADM0157,ESTRATÉGIA ORGANIZACIONAL,327
ADM0162,GESTÃO DA INOVAÇÃO,327
ADM0187,MICROECONOMIA APLICADA,327
ADM0190,MACROECONOMIA APLICADA,327
ADM0192,CALCULO FINANCEIRO,327
ADM0198,METODOLOGIA CIENTÍFICA APLICADA,327
ADM0214,INTRODUÇÃO A TEORIAS ORGANIZACIONAIS,327
ADM0219,ANÁLISE DECISÓRIA EM PROJETOS,327
ADM0228,ANALISE INSTITUCIONAL,327
ADM0231,COMPORTAMENTO ORGANIZACIONAL,327
ADM0241,PESQUISA DE MARKETING,327
ADM0244,GESTÃO DE VENDAS,327
ADM0258,GESTÃO DE DESEMPENHO,327
ADM0270,OFICINA DE PRODUTOS E PROJETOS,327
ADM0273,PROJETO DE PESQUISA EM ADMINISTRAÇÃO,327
ADM0297,ELABORAÇÃO DE TRABALHO DE CURSO,327
ADM0298,ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO,327
ADM0300,COMPORTAMENTO DO CONSUMIDOR,327
ADM0301,FINANÇAS 2,327
ADM0303,GESTÃO DE PROCESSOS,327
ADM0304,GESTÃO DE RESPONSABILIDADE SOCIOAMBIENTAL,327
ADM0306,MARKETING DE RELACIONAMENTO,327
ADM0307,MÉTODOS E MODELOS QUANTITATIVOS DE DECISÃO 2,327
ADM0308,NEGOCIAÇÃO,327
ADM0311,TÓPICOS CONTEMPORÂNEOS EM FINANÇAS,327
ADM0313,"TÓPICOS CONTEMPORÂNEOS EM PRODUÇÃO, LOGÍSTICA E GESTÃO DA INFORMAÇÃO",327
ADM0315,TÓPICOS CONTEMPORÂNEOS EM ADMINISTRAÇÃO 1,327
ADM0316,TÓPICOS CONTEMPORÂNEOS EM ADMINISTRAÇÃO 2,327
ADM0317,ADMINISTRAÇÃO DA QUALIDADE,327
ADM0318,INTERNACIONALIZAÇÃO DE EMPRESAS E GESTÃO DE NEGÓCIOS,327
ADM0320,"ANÁLISE ORGANIZACIONAL, SISTEMAS E MÉTODOS",327
ADM0321,ABORDAGENS CRÍTICAS AO ESTUDO DE ORGANIZAÇÕES,327
ADM0322,CRIATIVIDADE E INOVAÇÃO NAS ORGANIZAÇÕES,327
ADM0366,GESTÃO DE TELETRABALHO,327
ADM0367,LGBT NAS ORGANIZAÇÕES,327
BIOANI0290,TÓPICOS EM IMUNOLOGIA TUMORAL,1491
BIOMOL0072,SEMINÁRIOS EM BIOLOGIA MOLECULAR 2,1488
BIOMOL0073,SEMINÁRIOS EM BIOLOGIA MOLECULAR 3,1488
BIOMOL0074,SEMINÁRIOS EM BIOLOGIA MOLECULAR 4,1488
BOT0004,INTRODUCAO A ANATOMIA VEGETAL,455
BOT0006,ANATOMIA DAS MADEIRAS,455
BOT0008,FISIOLOGIA VEGETAL,455
BOT0013,ESTAGIO EM BOTANICA,455
BOT0015,BOTANICA EVOLUTIVA,455
BOT0017,CULTURA DE TECIDOS DE PLANTAS,455
BOT0020,MORFOLOGIA E TAXONOMIA DAS CRIPTOGAMAS,455
BOT0026,ESTAGIO EM ESTRUTURA MACRO E MICROSCOPICA DA MADEIRA,455
BOT0032,PESQUISA EM FISIOLOGIA VEGETAL,455
BOT0035,ESTAGIO EM TECNICAS DE HERBARIO,455
BOT0044,ORGANOGRAFIA E SISTEMÁTICA FANEROFÍTICA,455
BOT0046,VEGETACAO DO CERRADO,455
BOT0050,BIOLOGIA REPRODUTIVA E POLINIZAÇÃO DE ANGIOSPERMAS,455
BOT0058,BOTÂNICA EM CAMPO,455
BOT0071,METABOLISMO E DESENVOLVIMENTO VEGETAL,455
BOT0073,TÓPICOS EM BOTÂNICA 2,455
BOT0075,PESQUISA EM BOTÂNICA,455
BOT0077,TÓPICOS EM BOTÂNICA 1,455
BOT0078,DIVERSIDADE VEGETAL,455
CBH0002,BIOÉTICA E BIOTECNOCIÊNCIAS,1448
CBH0004,BIOÉTICA E SAÚDE PÚBLICA,1448
CCA0002,CUSTOS APLICADOS AO SETOR PÚBLICO,333
CCA0003,MANAGEMENT ACCOUNTING AND CONTROL SYSTEMS,333
CCA0004,AVALIAÇÃO DE EMPRESAS,333
