id,total_spots,enrolled_students,location,schedule,period,number,teacher_id,subject_code
1,40,0,Local à definir.,6T2345,2022.1,1,1,CDT1101
2,40,0,Local à definir.,6T2345,2022.1,1,2,CDT1101
3,27,0,BSA S B1 34/13 (56),35T45,2022.1,1,3,CDS0004
4,57,0,ICC AT 158/19 (50),36N12,2022.1,1,4,CDS0007
5,40,0,BSA S B1 54/10 (68),35N34,2022.1,2,4,CDS0007
6,17,0,CDS - AUDITÓRIO CERRADO,4T2345,2022.1,4,5,CDS0007
7,15,0,CDS - AUDITÓRIO CERRADO,4T2345,2022.1,5,3,CDS0007
8,40,0,BSA S B1 47/10 (68),35N34,2022.1,1,6,CDS0008
9,40,0,BSA S B2 26/14 (36),7M34,2022.1,1,7,CDS0010
10,5,0,BSA S B2 21/09 (15),7M12,2022.1,2,7,CDS0010
11,25,0,CDS - SALA ARATICUM,3T2345,2022.1,1,8,CDS0011
12,25,0,BSA S B2 19/9,35N34,2022.1,1,7,CDS0012
13,35,0,ICC AT 092,35N12,2022.1,1,9,CDS0013
14,25,0,BSA S B2 34/10,35N12,2022.1,1,10,CDS0015
15,25,0,BSA S B2 33/9,35N34,2022.1,1,11,CDS0019
16,40,0,CET - Módulo B sala 2,4T2345,2022.1,1,12,CET0001
17,40,0,CET - Módulo C,2M34,2022.1,1,13,CET0002
18,40,0,CET - Módulo D (Sala de aula),3M1234,2022.1,1,12,CET0005
19,40,0,CET - Módulo B sala 2,2T23,2022.1,1,14,CET0006
20,40,0,CET - Módulo E,3T6 3N1,2022.1,1,15,CET0007
21,37,0,CET - Módulo D (sala de aula),5T2345,2022.1,1,16,CET0012
22,37,0,CET - Módulo D (sala de aula),5T2345,2022.1,1,17,CET0012
23,42,0,CET - Módulo E,3M1234,2022.1,1,15,CET0013
24,40,0,CET - Módulo D (sala de aula),4T2345,2022.1,1,18,CET0014
25,31,0,CET - Módulo C,5M34,2022.1,1,12,CET0015
26,40,0,CET - Módulo D (sala de aula),3T2345,2022.1,1,19,CET0022
27,31,0,CET - Módulo B sala 2,2T45,2022.1,1,13,CET0032
28,40,0,CET - Módulo C,6M34,2022.1,1,20,CET0036
29,40,0,CET - Módulo C,6M12,2022.1,1,20,CET0037
30,45,0,CET - Módulo D (sala de aula),4M1234,2022.1,1,21,CET0038
31,40,0,CET - Módulo E,5T2345,2022.1,1,19,CET0039
32,40,0,CET - Módulo D (sala de aula),6M1234,2022.1,1,18,CET0040
33,45,0,CET - Módulo D (sala de aula),2T2345,2022.1,1,22,CET0041
34,45,0,CET - Módulo D (sala de aula),2T2345,2022.1,1,23,CET0041
35,40,0,CET - Módulo B sala 2,5T2345,2022.1,1,20,CET0042
36,40,0,CET - Módulo E,2T2345,2022.1,1,12,CET0043
37,45,0,CET - Módulo E,2M1234,2022.1,1,24,CET0044
38,40,0,CET - Módulo E,4T2345,2022.1,1,25,CET0045
39,30,0,CET - Módulo D (sala de aula),2M34,2022.1,1,26,CET0046
40,30,0,CET - Módulo D (sala de aula),2M34,2022.1,1,21,CET0046
41,40,0,CET - Módulo E,3T2345,2022.1,1,22,CET0050
42,40,0,CET - Módulo D (sala de aula),2M12,2022.1,1,21,CET0051
43,40,0,CET - Módulo E,4M34,2022.1,1,22,CET0052
44,40,0,CET - Módulo C,4M1234,2022.1,1,13,CET0053
45,40,0,CET - Módulo D (Lab. Eventos e Gastronomia),5M1234,2022.1,1,24,CET0054
46,40,0,CET - Módulo D (Lab. Eventos e Gastronomia),3M12,2022.1,1,21,CET0055
47,30,0,Local à definir.,5N1234 6N12 (20/01/2022 - 18/03/2022),2022.1,1,27,CEM0005
48,40,0,BSA N AT 60/41,3N12,2022.1,1,28,CEM0005
49,30,0,Local à definir.,7M1234 4N12 (22/01/2022 - 26/03/2022),2022.1,1,29,CEM0007
50,30,0,AUDITÓRIO BSA N A1 22/4,3T2345,2022.1,1,30,CEM0007
51,30,0,Local à definir.,7M1234 4N12 (22/01/2022 - 26/03/2022),2022.1,1,31,CEM0007
52,30,0,Local à definir.,7M1234 4N12 (22/01/2022 - 26/03/2022),2022.1,1,32,CEM0007
53,30,0,a designar,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",2022.1,1,33,CEM0008
54,30,0,a designar,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",2022.1,1,34,CEM0008
55,30,0,a designar,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",2022.1,1,35,CEM0008
56,30,0,a designar,"7M234 46N123 5N1234 (09/06/2022 - 15/06/2022), 7M234 46N123 5N1234 (22/06/2022 - 09/07/2022)",2022.1,1,36,CEM0008
57,15,0,BSAS BT 11/10,4M12,2022.1,1,37,CEM0009
