turma,periodo,professor,horario,vagas_ocupadas,total_vagas,local,cod_disciplina,cod_depto
1,2022.1,Tania Cristina Da Silva Cruz,6T2345,0,40.0,Local à definir.,CDT1101,643
1,2022.1,Jonathas Felipe Aires Ferreira,6T2345,0,40.0,Local à definir.,CDT1101,643
1,2022.1,Laura Angelica Ferreira Darnet,35T45,0,27.0,BSA S B1 34/13 (56),CDS0004,640
1,2022.1,Mauro Guilherme Maidana Cappellaro,36N12,0,57.0,ICC AT 158/19 (50),CDS0007,640
2,2022.1,Mauro Guilherme Maidana Cappellaro,35N34,0,40.0,BSA S B1 54/10 (68),CDS0007,640
4,2022.1,Cristiane Gomes Barreto,4T2345,0,17.0,CDS - AUDITÓRIO CERRADO,CDS0007,640
5,2022.1,Laura Angelica Ferreira Darnet,4T2345,0,15.0,CDS - AUDITÓRIO CERRADO,CDS0007,640
1,2022.1,Doris Aleida Villamizar Sayago,35N34,0,40.0,BSA S B1 47/10 (68),CDS0008,640
1,2022.1,Ana Karine Pereira,7M34,0,40.0,BSA S B2 26/14 (36),CDS0010,640
2,2022.1,Ana Karine Pereira,7M12,0,5.0,BSA S B2 21/09 (15),CDS0010,640
1,2022.1,Frederic Adelin Georges Mertens,3T2345,0,25.0,CDS - SALA ARATICUM,CDS0011,640
1,2022.1,Ana Karine Pereira,35N34,0,25.0,BSA S B2 19/9,CDS0012,640
1,2022.1,Stephanie Caroline Nasuti,35N12,0,35.0,ICC AT 092,CDS0013,640
1,2022.1,Saulo Rodrigues Pereira Filho,35N12,0,25.0,BSA S B2 34/10,CDS0015,640
1,2022.1,Mauricio De Carvalho Amazonas,35N34,0,25.0,BSA S B2 33/9,CDS0019,640
1,2022.1,Mariana Tomazin,4T2345,0,40.0,CET - Módulo B sala 2,CET0001,314
1,2022.1,Aylana Laissa Medeiros Borges,2M34,0,40.0,CET - Módulo C,CET0002,314
1,2022.1,Mariana Tomazin,3M1234,0,40.0,CET - Módulo D (Sala de aula),CET0005,314
1,2022.1,Jefferson Lorencini Gazoni,2T23,0,40.0,CET - Módulo B sala 2,CET0006,314
1,2022.1,Marutschka Martini Moesch,3T6 3N1,0,40.0,CET - Módulo E,CET0007,314
1,2022.1,Alessandra Santos Dos Santos,5T2345,0,37.0,CET - Módulo D (sala de aula),CET0012,314
1,2022.1,Carolina Menezes Palhares,5T2345,0,37.0,CET - Módulo D (sala de aula),CET0012,314
1,2022.1,Marutschka Martini Moesch,3M1234,0,42.0,CET - Módulo E,CET0013,314
1,2022.1,Fagno Tavares De Oliveira,4T2345,0,40.0,CET - Módulo D (sala de aula),CET0014,314
1,2022.1,Mariana Tomazin,5M34,0,31.0,CET - Módulo C,CET0015,314
1,2022.1,Joao Paulo Faria Tasso,3T2345,0,40.0,CET - Módulo D (sala de aula),CET0022,314
1,2022.1,Aylana Laissa Medeiros Borges,2T45,0,31.0,CET - Módulo B sala 2,CET0032,314
1,2022.1,Neuza De Farias Araujo,6M34,0,40.0,CET - Módulo C,CET0036,314
1,2022.1,Neuza De Farias Araujo,6M12,0,40.0,CET - Módulo C,CET0037,314
1,2022.1,Thiago Sebastiano De Melo,4M1234,0,45.0,CET - Módulo D (sala de aula),CET0038,314
1,2022.1,Joao Paulo Faria Tasso,5T2345,0,40.0,CET - Módulo E,CET0039,314
1,2022.1,Fagno Tavares De Oliveira,6M1234,0,40.0,CET - Módulo D (sala de aula),CET0040,314
1,2022.1,Angela Teberga De Paula,2T2345,0,45.0,CET - Módulo D (sala de aula),CET0041,314
1,2022.1,Lana Magaly Pires,2T2345,0,45.0,CET - Módulo D (sala de aula),CET0041,314
1,2022.1,Neuza De Farias Araujo,5T2345,0,40.0,CET - Módulo B sala 2,CET0042,314
1,2022.1,Mariana Tomazin,2T2345,0,40.0,CET - Módulo E,CET0043,314
1,2022.1,Ana Rosa Domingues Dos Santos,2M1234,0,45.0,CET - Módulo E,CET0044,314
1,2022.1,Luiz Carlos Spiller Pena,4T2345,0,40.0,CET - Módulo E,CET0045,314
1,2022.1,Euzamara De Carvalho,2M34,0,30.0,CET - Módulo D (sala de aula),CET0046,314
1,2022.1,Thiago Sebastiano De Melo,2M34,0,30.0,CET - Módulo D (sala de aula),CET0046,314
1,2022.1,Angela Teberga De Paula,3T2345,0,40.0,CET - Módulo E,CET0050,314
1,2022.1,Thiago Sebastiano De Melo,2M12,0,40.0,CET - Módulo D (sala de aula),CET0051,314
1,2022.1,Angela Teberga De Paula,4M34,0,40.0,CET - Módulo E,CET0052,314
1,2022.1,Aylana Laissa Medeiros Borges,4M1234,0,40.0,CET - Módulo C,CET0053,314
1,2022.1,Ana Rosa Domingues Dos Santos,5M1234,0,40.0,CET - Módulo D (Lab. Eventos e Gastronomia),CET0054,314
